Keyword,Level
Low energy use,1
Comfort control,1
Efficient diagnostics,1
Basic diagnostics,1
Low-energy fans,1
Temperature adjustments,1
Adjustable lighting,1
Simple insulation,1
Individual thermostats,1
Basic water use meters,1
Basic LED lighting,1
Room lighting adjustments,1
Manual water controls,1
User temperature controls,1
Energy-efficient bulbs,1
Noise insulation,1
Smartphone-based lighting,1
Adjustable blinds,1
Comfort-focused design,1
Low-energy heaters,1
Room temperature monitors,1
Low-energy appliances,1
Simple temperature monitoring,1
Basic water-saving features,1
Remote lighting control,1
Low-cost insulation,1
Simple comfort adjustments,1
Basic green materials,1
Manual air flow systems,1
Basic plant monitoring,1
Home insulation options,1
Simple recycling systems,1
Basic compost bins,1
Manual irrigation,1
Window insulation options,1
Portable fans,1
Low-power consumption,1
Basic water monitoring,1
Room air quality meters,1
Low-cost temperature sensors,1
Basic motion sensors,1
Basic comfort plans,1
Adjustable heating,1
Low-energy smart bulbs,1
Mobile air purifiers,1
Basic air quality meters,1
Energy-saving switches,1
Portable air coolers,1
Basic thermostat control,1
Simple energy meters,1
Manual HVAC control,1
Basic energy monitors,1
User temperature settings,1
Low-energy light strips,1
Mobile temperature settings,1
Portable water meters,1
Single-room heaters,1
Basic blinds,1
Simple user interfaces,1
Low-power usage tools,1
Basic room comfort,1
Simple thermostat designs,1
Low-energy products,1
Mobile comfort apps,1
Basic energy-efficient,1
Simple comfort devices,1
Manual lighting systems,1
Room light controls,1
Manual fans,1
Basic water meters,1
Simple temperature plans,1
Low-energy room heaters,1
Adjustable HVAC controls,1
Simple air control,1
Low-power room lighting,1
Basic cooling systems,1
Manual comfort control,1
Room-specific lights,1
Basic energy controls,1
Portable heating,1
Manual climate systems,1
Basic energy savings,1
Simple lighting,1
Manual water usage,1
Basic temperature monitors,1
Low-energy room coolers,1
Simple thermostat,1
Low-cost energy solutions,1
Manual HVAC,1
Energy switches,1
Portable cooling,1
Energy settings,1
Titanium alloys,1
Tungsten alloys,1
Magnesium alloys,1
Aluminum alloys,1
Polyetheretherketone,1
PEEK,1
Aluminum nitride,1
CFRP,1
Resource efficiency,2
Resource-efficient,2
Eco-friendly,2
Energy efficient,2
Energy-efficient,2
Hydroponics,2
Low-impact materials,2
Energy efficiency,2
Resource conservation,2
Eco-driving,2
Reduced cooling,2
Reusable robotics,2
Low impact,2
Low waste,2
Reduced waste,2
Reusable,2
Resource use,2
Low-impact,2
